country_3_letter_code,Asian,3x3 Basketball,Archery,Artistic Gymnastics,Artistic Swimming,Athletics,Badminton,Baseball/Softball,Basketball,Beach Volleyball,Boxing,Breaking,Canoe Slalom,Canoe Sprint,Cycling BMX Freestyle,Cycling BMX Racing,Cycling Mountain Bike,Cycling Road,Cycling Track,Diving,Equestrian,Fencing,Football,Golf,Handball,Hockey,Judo,Karate,Marathon Swimming,Modern Pentathlon,Rhythmic Gymnastics,Rowing,Rugby Sevens,Sailing,Shooting,Skateboarding,Sport Climbing,Surfing,Swimming,Table Tennis,Taekwondo,Tennis,Trampoline Gymnastics,Triathlon,Volleyball,Water Polo,Weightlifting,Wrestling
AUS,Non-East Asian,0.0,0.5,0.0,0.0,0.37086092715231794,0.0,0.5,0.4,0.4,0.5,0.0,0.6428571428571429,0.6842105263157895,0.6,0.5,0.0,0.6,0.3111111111111111,0.3157894736842105,0.23529411764705882,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.6,0.0,0.4568421052631579,0.6,0.5970009372071227,0.6,0.7647058823529411,0.0,0.4,0.49059143134860306,0.0,0.0,0.6,0.0,0.6,0.0,0.4,0.0,0.0
CAN,Non-East Asian,0.0,0.0,0.0,0.0,0.5939226519337016,0.0,0.5,0.0,0.4,0.5,0.6,0.0,0.3157894736842105,0.0,0.0,0.5,0.0,0.6,0.23529411764705882,0.5,0.5,0.6,0.0,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.3111111111111111,0.4,0.0,0.0,0.0,0.0,0.0,0.42033898305084744,0.0,0.4,0.5,0.5,0.4,0.0,0.0,0.6086956521739131,0.6086956521739131
CHN,East Asian,0.5,0.3157894736842105,0.5991668906208009,0.3111111111111111,0.37839999999999996,0.5593108018555335,0.0,0.0,0.4,0.46298788694481835,0.5,0.0,0.6428571428571429,0.6,0.0,0.0,0.0,0.5,0.7282402442042736,0.0,0.6428571428571429,0.0,0.5,0.0,0.3,0.6842105263157895,0.4,0.0,0.4,0.5,0.5,0.0,0.6842105263157895,0.6520815632965166,0.0,0.3,0.0,0.5,0.6759124087591241,0.6428571428571429,0.5,0.4483985765124555,0.0,0.6,0.0,0.8148546824542519,0.19626168224299065
FRA,Non-East Asian,0.4,0.3,0.4,0.0,0.17391304347826086,0.0,0.0,0.1923076923076923,0.0,0.2752808988764045,0.4,0.5637583892617449,0.4,0.5,0.5,0.5820895522388059,0.4,0.2631578947368421,0.0,0.5,0.4029990627928772,0.4,0.0,0.5637583892617449,0.0,0.4712717882504842,0.6,0.5,0.3,0.0,0.5,0.5,0.2631578947368421,0.3157894736842105,0.0,0.0,0.6,0.5287282117495159,0.5,0.3913043478260869,0.4,0.0,0.6,0.7000000000000001,0.0,0.4,0.6
GBR,Non-East Asian,0.0,0.0,0.5820895522388059,0.4,0.40177815410668927,0.5,0.0,0.0,0.0,0.6291390728476821,0.0,0.2752808988764045,0.6842105263157895,0.5,0.5,0.7000000000000001,0.417910447761194,0.6308607417774666,0.5,0.7368421052631579,0.0,0.0,0.5,0.0,0.6,0.4,0.0,0.3,0.5,0.0,0.5702869596803488,0.4,0.608695652173913,0.6086956521739131,0.5,0.6,0.0,0.38291494941925813,0.0,0.35714285714285715,0.6086956521739131,0.5,0.5637583892617449,0.0,0.0,0.4,0.0
GER,Non-East Asian,0.6,0.3,0.22499999999999998,0.0,0.3386295928500497,0.0,0.0,0.0,0.6086956521739131,0.5,0.0,0.5,0.628943415122684,0.0,0.0,0.5,0.3,0.436241610738255,0.4,0.6802973977695167,0.6086956521739131,0.5,0.4,0.4,0.6086956521739131,0.2631578947368421,0.0,0.3913043478260869,0.6,0.6,0.5,0.0,0.4,0.5820895522388059,0.0,0.0,0.0,0.7647058823529411,0.23529411764705882,0.5,0.5,0.0,0.7000000000000001,0.0,0.0,0.6,0.5
ITA,Non-East Asian,0.0,0.3913043478260869,0.3913043478260869,0.0,0.8037383177570093,0.0,0.0,0.0,0.4,0.3157894736842105,0.0,0.7000000000000001,0.23529411764705882,0.0,0.0,0.5,0.4,0.6842105263157895,0.4,0.0,0.3913043478260869,0.0,0.0,0.0,0.0,0.6842105263157895,0.6,0.4,0.5,0.5,0.2631578947368421,0.0,0.6842105263157895,0.42257597684515197,0.0,0.0,0.0,0.5,0.0,0.6086956521739131,0.6,0.0,0.0,0.5,0.3,0.4,0.6
JPN,East Asian,0.0,0.4,0.610878661087866,0.5,0.3157894736842105,0.5,0.7647058823529411,0.4,0.0,0.7000000000000001,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.5,0.4,0.4,0.0,0.0,0.6877961117464467,0.5,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.6138613861386139,0.3,0.4,0.46298788694481835,0.2631578947368421,0.0,0.5,0.0,0.0,0.5,0.0,0.4,0.7396344181899243
KOR,East Asian,0.0,0.8474366893143916,0.6086956521739131,0.0,0.0,0.5,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5939226519337016,0.5,0.6,0.5,0.0,0.3132530120481928,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3157894736842105,0.4,0.7959183673469388,0.0,0.0,0.0,0.0,0.0,0.35714285714285715,0.6
NED,Non-East Asian,0.6,0.4,0.7000000000000001,0.5,0.4483985765124555,0.0,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.3913043478260869,0.0,0.436241610738255,0.7139364303178484,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.6888888888888889,0.4,0.0,0.7368421052631579,0.0,0.0,0.5,0.0,0.6539923954372624,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0
